Масло,Зона,ПЭ,С,Группа,Сочетания,Единичное масло в Зоне,Ключ
Апельсин,+++,"Потребность в радости. См. сочетание [1],[2], [3]. *ЕД: Острая потребность в радости.","Нарушение адаптации. Высокий уровень закисленности. См. сочетания [4], [5], [6].",Цитрусовая,"[1] Апельсин в сочетании с Литцей: переутомление. Потребность в повышении концентрации внимания. [2] Апельсин в сочетании с Бергамот/Мандарин: потребность в радости, беззаботности. [3] Вся Цитрусовая группа (или более 80%) в зоне +/+++: зависимость от чужого мнения. [4] Апельсин в сочетании с Литцеей: напряжение, нарушение адаптации. [5] В сочетании с Грейпфрутом и Ванилью: нарушение пищевого поведения. [6] Все (цитрусовые) (или более 80%) в зоне+/+++: высокая закисленность.",Острая потребность в радости.,Апельсин|+++
Апельсин,+,"Потребность в радости. См. сочетание [1],[2], [3].  *ЕД: Острая потребность в радости.","Нарушение адаптации. Высокий уровень закисленности. См. сочетания [4], [5], [6].",Цитрусовая,"[1] Апельсин в сочетании с Литцей: переутомление. Потребность в повышении концентрации внимания. [2] Апельсин в сочетании с Бергамот/Мандарин: потребность в радости, беззаботности. [3] Вся Цитрусовая группа (или более 80%) в зоне +/+++: зависимость от чужого мнения. [4] Апельсин в сочетании с Литцеей: напряжение, нарушение адаптации. [5] В сочетании с Грейпфрутом и Ванилью: нарушение пищевого поведения. [6] Все (цитрусовые) (или более 80%) в зоне+/+++: высокая закисленность.",Острая потребность в радости.,Апельсин|+
Апельсин,N,Запрет на радость.  *ЕД: Острая потребность в радости.,,Цитрусовая,,Острая потребность в радости.,Апельсин|N
Апельсин,-,"Тревожное состояние, непринятие или страх показать эмоции.  *ЕД: Глубокая депрессия",Нарушение углеводно-липидного обмена.,Цитрусовая,,Глубокая депрессия,Апельсин|-
Апельсин,---,Запрет на радость. *ЕД: Глубокая депрессия.,Нарушение углеводно-липидного обмена.,Цитрусовая,,Глубокая депрессия,Апельсин|---
Апельсин,0,"Очень хочется, но не могу себе позволить позитивные эмоции.",Адаптация в норме.,Цитрусовая,,,Апельсин|0
Апельсин,R,"Тревожное состояние, непринятие или страх показать эмоции.",,Цитрусовая,,,Апельсин|R
Бергамот,+++,"Мужской аромат. Потребность в легких отношениях. Если на 1-ом или 2-ом месте, то отождествляет себя с подростковым возрастом. На 3-ем месте - мечта быть беззаботным(ой). Часто выбирают подростки или мамы подростков (или педагоги, работающие с детьми). См. сочетание [1]. *ЕД: Подростковый бунт. Потребность в легкости.",Сухая кожа. См. сочетание [3].,Цитрусовая,[1] В сочетании с Лимоном: эмоциональное переутомление. Часто встречается у подростков.,Подростковый бунт. Потребность в легкости.,Бергамот|+++
Бергамот,+,Желание легкого проживания эмоций. См. сочетание [1]. *ЕД: Подростковый бунт. Потребность в легкости.,Сухая кожа. См. сочетание [3].,Цитрусовая,"[1] В сочетании с Лимоном: эмоциональное переутомление. Часто встречается у подростков (агрессия). [3] Значение “сухая кожа” подтверждают Бензоин, Лаванда или Эвкалипт.",Подростковый бунт. Потребность в легкости.,Бергамот|+
Бергамот,N,Реализованный подростковый период,Норма.,Цитрусовая,,Подростковый бунт. Потребность в легкости.,Бергамот|N
Бергамот,-,Подавленная сексуальность,Застойные процессы в кишечнике. Сухая кожа.,Цитрусовая,,Глубокая депрессия,Бергамот|-
Бергамот,---,Подростковый бунт. См. сочетание [2],Застойные процессы в кишечнике. Сухая кожа.,Цитрусовая,"[2] Проверить, где Береза, насколько подавлены/не подавлены эмоции (агрессия).",Глубокая депрессия,Бергамот|---
Бергамот,0,"Застревание в подростковом, непрожитом периоде. Возможно конфликт. Ищем причину в сочетаниях.",,Цитрусовая,,,Бергамот|0
Бергамот,R,"Застревание в подростковом, непрожитом периоде. Возможно конфликт. Ищем причину в сочетаниях.",,Цитрусовая,,,Бергамот|R
Лимон,+++,"Перенапряжение, раздражительность. См. сочетание [1]. *ЕД: Высокая раздражительность. Может быть агрессия.","Спазм сфинктера желчного пузыря. См. сочетания [2],[3].",Цитрусовая,[1] Лимон в сочетании с Бергамотом: эмоциональное переутомление. Часто встречается у подростков. [2] Лимон в сочетании с Литцей: склонность к мигреням. [3] Лимон в сочетании с Аиром: возможно лямблиоз.,Высокая раздражительность. Мб агрессия.,Лимон|+++
Лимон,+,Напряжение.  См. сочетание [1]. *ЕД: Высокая раздражительность. Может быть агрессия.,Застой в желчном пузыре. См. сочетание [3].,Цитрусовая,[1] Лимон в сочетании с Бергамотом: эмоциональное переутомление. Часто встречается у подростков. [3] Лимон в сочетании с Аиром: возможно лямблиоз.,Высокая раздражительность. Мб агрессия.,Лимон|+
Лимон,N,Нет внутренней агрессии. *ЕД: Высокая раздражительность. Может быть агрессия.,Нормальная работа желчного пузыря,Цитрусовая,,Высокая раздражительность. Мб агрессия.,Лимон|N
Лимон,-,Подавленная агрессия. *ЕД: Заблокированная агрессия.,Хронический холецистит.,Цитрусовая,,Заблокированная агрессия,Лимон|-
Лимон,---,Подавленная агрессия. *ЕД: Заблокированная агрессия.,Мб камни в желчном пузыре.,Цитрусовая,,Заблокированная агрессия,Лимон|---
Лимон,0,Подавленная агрессия. *ЕД: Заблокированная агрессия.,Мб камни в желчном пузыре.,Цитрусовая,,,Лимон|0
Лимон,R,"Перенапряжение, раздражительность.",,Цитрусовая,,,Лимон|R
